,YearStart,LocationAbbr,LocationDesc,Question,DataValue,GeoLocation,LocationID,QuestionID,DataValueTypeID,LowConfidenceLimit,HighConfidenceLimit,GENDER,OVERALL,RACE
460,2011,AL,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,4.1,"(32.84057112200048, -86.63186076199969)",1,MTH1_0,AGEADJMEAN,3.7,4.6,Male,,
461,2011,AL,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,4.1,"(32.84057112200048, -86.63186076199969)",1,MTH1_0,MEAN,3.6,4.6,Male,,
462,2011,AL,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,4.6,"(32.84057112200048, -86.63186076199969)",1,MTH1_0,MEAN,4.3,5,,,"White, non-Hispanic"
463,2011,AL,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,4.8,"(32.84057112200048, -86.63186076199969)",1,MTH1_0,AGEADJMEAN,4.4,5.2,,,"White, non-Hispanic"
464,2011,AL,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,4.8,"(32.84057112200048, -86.63186076199969)",1,MTH1_0,MEAN,4.5,5.1,,Overall,
465,2011,AL,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,4.9,"(32.84057112200048, -86.63186076199969)",1,MTH1_0,AGEADJMEAN,4.6,5.2,,Overall,
466,2011,AL,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,5,"(32.84057112200048, -86.63186076199969)",1,MTH1_0,AGEADJMEAN,4.4,5.6,,,"Black, non-Hispanic"
467,2011,AL,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,5,"(32.84057112200048, -86.63186076199969)",1,MTH1_0,MEAN,4.4,5.7,,,"Black, non-Hispanic"
468,2011,AL,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,5.5,"(32.84057112200048, -86.63186076199969)",1,MTH1_0,MEAN,5.1,5.9,Female,,
469,2011,AL,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,5.6,"(32.84057112200048, -86.63186076199969)",1,MTH1_0,AGEADJMEAN,3,8.2,,,Hispanic
470,2011,AL,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,5.6,"(32.84057112200048, -86.63186076199969)",1,MTH1_0,AGEADJMEAN,5.2,6,Female,,
471,2011,AL,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,5.6,"(32.84057112200048, -86.63186076199969)",1,MTH1_0,MEAN,2.4,8.9,,,Hispanic
472,2011,AL,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,5.7,"(32.84057112200048, -86.63186076199969)",1,MTH1_0,MEAN,3.4,8,,,"Other, non-Hispanic"
473,2011,AL,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,6,"(32.84057112200048, -86.63186076199969)",1,MTH1_0,AGEADJMEAN,3.7,8.3,,,"Other, non-Hispanic"
474,2011,AL,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,7,"(32.84057112200048, -86.63186076199969)",1,MTH1_0,AGEADJMEAN,3.2,10.8,,,"Multiracial, non-Hispanic"
443,2011,AK,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,2.6,"(64.84507995700051, -147.72205903599973)",2,MTH1_0,AGEADJMEAN,2.1,3.2,Male,,
444,2011,AK,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,2.6,"(64.84507995700051, -147.72205903599973)",2,MTH1_0,MEAN,2.1,3.1,Male,,
445,2011,AK,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,2.7,"(64.84507995700051, -147.72205903599973)",2,MTH1_0,MEAN,1.9,3.5,,,"Other, non-Hispanic"
446,2011,AK,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,2.8,"(64.84507995700051, -147.72205903599973)",2,MTH1_0,AGEADJMEAN,2.4,3.2,,,"White, non-Hispanic"
447,2011,AK,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,2.9,"(64.84507995700051, -147.72205903599973)",2,MTH1_0,AGEADJMEAN,2,3.9,,,"Other, non-Hispanic"
448,2011,AK,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,2.9,"(64.84507995700051, -147.72205903599973)",2,MTH1_0,MEAN,2.5,3.3,,,"White, non-Hispanic"
449,2011,AK,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,3.1,"(64.84507995700051, -147.72205903599973)",2,MTH1_0,AGEADJMEAN,2.7,3.5,,Overall,
450,2011,AK,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,3.2,"(64.84507995700051, -147.72205903599973)",2,MTH1_0,MEAN,2.8,3.5,,Overall,
451,2011,AK,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,3.6,"(64.84507995700051, -147.72205903599973)",2,MTH1_0,AGEADJMEAN,3.1,4.2,Female,,
452,2011,AK,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,3.7,"(64.84507995700051, -147.72205903599973)",2,MTH1_0,MEAN,3.1,4.3,Female,,
453,2011,AK,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,3.9,"(64.84507995700051, -147.72205903599973)",2,MTH1_0,AGEADJMEAN,2,5.8,,,Hispanic
454,2011,AK,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,4.3,"(64.84507995700051, -147.72205903599973)",2,MTH1_0,MEAN,2.1,6.5,,,Hispanic
